test_accuracy,test_f1,target_class
0.9753485717391895,0.9767507668695772,M1
0.7419223296313177,0.7570486739799573,M2
0.8016689779334841,0.8200159016704857,M3
0.668047389987529,0.6828087353160983,M4
0.7477907981942177,0.7518158832933517,M5
0.7204565489723008,0.7292605315486353,M6
0.7186816690962099,0.7287890082004161,M7
0.9314123810542072,0.9345579335656393,M8
0.936400106980476,0.9393521680762611,M9
0.7337940728593183,0.7492416292786971,M10
