country,isic_code,measure,reporting_year,currency,power_code,value,prtr_system,value_usd,aggregate
AUS,P,Current prices,1990,AUD,Millions,18481.0,NPI,13306.32,1
AUS,Q,Current prices,1990,AUD,Millions,21467.0,NPI,15456.24,3
AUS,R,Current prices,1990,AUD,Millions,3033.0,NPI,2183.7599999999998,4
AUS,S,Current prices,1990,AUD,Millions,8275.0,NPI,5958.0,3
AUS,46,Current prices,1990,AUD,Millions,21232.0,NPI,15287.039999999999,1
AUS,47,Current prices,1990,AUD,Millions,20019.0,NPI,14413.68,1
AUS,68A,Current prices,1990,AUD,Millions,32399.0,NPI,23327.28,1
AUS,TOT,Current prices,1991,AUD,Millions,388544.0,NPI,279751.68,99
AUS,A,Current prices,1991,AUD,Millions,12882.0,NPI,9275.039999999999,3
AUS,B,Current prices,1991,AUD,Millions,19696.0,NPI,14181.119999999999,5
AUS,C,Current prices,1991,AUD,Millions,53242.0,NPI,38334.24,24
AUS,D,Current prices,1991,AUD,Millions,16010.0,NPI,11527.199999999999,1
AUS,F,Current prices,1991,AUD,Millions,24768.0,NPI,17832.96,3
AUS,G,Current prices,1991,AUD,Millions,40833.0,NPI,29399.76,2
AUS,H,Current prices,1991,AUD,Millions,20942.0,NPI,15078.24,5
AUS,I,Current prices,1991,AUD,Millions,9283.0,NPI,6683.759999999999,2
AUS,J,Current prices,1991,AUD,Millions,16167.0,NPI,11640.24,2
AUS,K,Current prices,1991,AUD,Millions,24014.0,NPI,17290.079999999998,3
AUS,L,Current prices,1991,AUD,Millions,45961.0,NPI,33091.92,1
AUS,M,Current prices,1991,AUD,Millions,17057.0,NPI,12281.039999999999,7
AUS,N,Current prices,1991,AUD,Millions,8042.0,NPI,5790.24,6
AUS,O,Current prices,1991,AUD,Millions,25369.0,NPI,18265.68,1
AUS,P,Current prices,1991,AUD,Millions,19413.0,NPI,13977.359999999999,1
AUS,Q,Current prices,1991,AUD,Millions,22419.0,NPI,16141.68,3
AUS,R,Current prices,1991,AUD,Millions,3345.0,NPI,2408.4,4
AUS,S,Current prices,1991,AUD,Millions,9102.0,NPI,6553.44,3
AUS,46,Current prices,1991,AUD,Millions,20606.0,NPI,14836.32,1
AUS,47,Current prices,1991,AUD,Millions,20227.0,NPI,14563.439999999999,1
AUS,68A,Current prices,1991,AUD,Millions,34376.0,NPI,24750.719999999998,1
AUS,TOT,Current prices,1992,AUD,Millions,411506.0,NPI,296284.32,99
AUS,A,Current prices,1992,AUD,Millions,14452.0,NPI,10405.44,3
AUS,B,Current prices,1992,AUD,Millions,20635.0,NPI,14857.199999999999,5
AUS,C,Current prices,1992,AUD,Millions,57185.0,NPI,41173.2,24
AUS,D,Current prices,1992,AUD,Millions,16186.0,NPI,11653.92,1
AUS,F,Current prices,1992,AUD,Millions,25146.0,NPI,18105.12,3
AUS,G,Current prices,1992,AUD,Millions,43958.0,NPI,31649.76,2
AUS,H,Current prices,1992,AUD,Millions,21568.0,NPI,15528.96,5
AUS,I,Current prices,1992,AUD,Millions,9843.0,NPI,7086.96,2
AUS,J,Current prices,1992,AUD,Millions,16539.0,NPI,11908.08,2
AUS,K,Current prices,1992,AUD,Millions,27926.0,NPI,20106.719999999998,3
AUS,L,Current prices,1992,AUD,Millions,46975.0,NPI,33822.0,1
AUS,M,Current prices,1992,AUD,Millions,18227.0,NPI,13123.439999999999,7
AUS,N,Current prices,1992,AUD,Millions,8591.0,NPI,6185.5199999999995,6
AUS,O,Current prices,1992,AUD,Millions,26483.0,NPI,19067.76,1
AUS,P,Current prices,1992,AUD,Millions,21055.0,NPI,15159.599999999999,1
AUS,Q,Current prices,1992,AUD,Millions,23530.0,NPI,16941.6,3
AUS,R,Current prices,1992,AUD,Millions,3571.0,NPI,2571.12,4
AUS,S,Current prices,1992,AUD,Millions,9635.0,NPI,6937.2,3
AUS,46,Current prices,1992,AUD,Millions,22040.0,NPI,15868.8,1
AUS,47,Current prices,1992,AUD,Millions,21918.0,NPI,15780.96,1
AUS,68A,Current prices,1992,AUD,Millions,34998.0,NPI,25198.559999999998,1
AUS,TOT,Current prices,1993,AUD,Millions,432294.0,NPI,311251.68,99
