ISIC,ISIC TITLE,2006 ANZSIC,2006 ANZSIC TITLE
2750,Manufacture of domestic appliances,2441,Whiteware Appliance Manufacturing
2750,Manufacture of domestic appliances,2449p,Other Domestic Appliance Manufacturing
2790,Manufacture of other electrical equipment,2313p,Automotive Electrical Component Manufacturing
2790,Manufacture of other electrical equipment,2419p,Other Professional and Scientific Equipment Manufacturing
2790,Manufacture of other electrical equipment,2422p,Communication Equipment Manufacturing
2790,Manufacture of other electrical equipment,2429p,Other Electronic Equipment Manufacturing
2790,Manufacture of other electrical equipment,2431p,Electric Cable and Wire Manufacturing
2790,Manufacture of other electrical equipment,2432p,Electric Lighting Equipment Manufacturing
2790,Manufacture of other electrical equipment,2439p,Other Electrical Equipment Manufacturing
2790,Manufacture of other electrical equipment,2469p,Other Specialised Machinery and Equipment Manufacturing
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2299p,Other Fabricated Metal Product Manufacturing n.e.c.
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2319p,Other Motor Vehicle Parts Manufacturing
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2391p,Shipbuilding and Repair Services
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2392p,Boatbuilding and Repair Services
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2393p,Railway Rolling Stock Manufacturing and Repair Services
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2399p,Other Transport Equipment Manufacturing n.e.c.
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2499p,Other Machinery and Equipment Manufacturing n.e.c.
2812,Manufacture of fluid power equipment,2299p,Other Fabricated Metal Product Manufacturing n.e.c.
2812,Manufacture of fluid power equipment,2451p,Pump and Compressor Manufacturing
2812,Manufacture of fluid power equipment,2499p,Other Machinery and Equipment Manufacturing n.e.c.
2813,"Manufacture of other pumps, compressors, taps and valves",2299p,Other Fabricated Metal Product Manufacturing n.e.c.
2813,"Manufacture of other pumps, compressors, taps and valves",2449p,Other Domestic Appliance Manufacturing
2813,"Manufacture of other pumps, compressors, taps and valves",2451p,Pump and Compressor Manufacturing
2813,"Manufacture of other pumps, compressors, taps and valves",2452p,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
2813,"Manufacture of other pumps, compressors, taps and valves",2499p,Other Machinery and Equipment Manufacturing n.e.c.
2814,"Manufacture of bearings, gears, gearing and driving elements",2499p,Other Machinery and Equipment Manufacturing n.e.c.
2815,"Manufacture of ovens, furnaces and furnace burners",2439p,Other Electrical Equipment Manufacturing
2815,"Manufacture of ovens, furnaces and furnace burners",2449p,Other Domestic Appliance Manufacturing
2815,"Manufacture of ovens, furnaces and furnace burners",2452p,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
2815,"Manufacture of ovens, furnaces and furnace burners",2499p,Other Machinery and Equipment Manufacturing n.e.c.
2816,Manufacture of lifting and handling equipment,2399p,Other Transport Equipment Manufacturing n.e.c.
2816,Manufacture of lifting and handling equipment,2491,Lifting and Material Handling Equipment Manufacturing
2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),2421p,Computer and Electronic Office Equipment Manufacturing
2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),2519p,Other Furniture Manufacturing
2818,Manufacture of power-driven hand tools,2463p,Machine Tool and Parts Manufacturing
2819,Manufacture of other general-purpose machinery,2419p,Other Professional and Scientific Equipment Manufacturing
2819,Manufacture of other general-purpose machinery,2449p,Other Domestic Appliance Manufacturing
2819,Manufacture of other general-purpose machinery,2452p,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
2819,Manufacture of other general-purpose machinery,2463p,Machine Tool and Parts Manufacturing
2819,Manufacture of other general-purpose machinery,2469p,Other Specialised Machinery and Equipment Manufacturing
2819,Manufacture of other general-purpose machinery,2499p,Other Machinery and Equipment Manufacturing n.e.c.
2821,Manufacture of agricultural and forestry machinery,2461p,Agricultural Machinery and Equipment Manufacturing
2822,Manufacture of metal-forming machinery and machine tools,2463p,Machine Tool and Parts Manufacturing
2822,Manufacture of metal-forming machinery and machine tools,2499p,Other Machinery and Equipment Manufacturing n.e.c.
2823,Manufacture of machinery for metallurgy,2463p,Machine Tool and Parts Manufacturing
2824,"Manufacture of machinery for mining, quarrying and construction",2462,Mining and Construction Machinery Manufacturing
2825,"Manufacture of machinery for food, beverage and tobacco processing",2461p,Agricultural Machinery and Equipment Manufacturing
2825,"Manufacture of machinery for food, beverage and tobacco processing",2469p,Other Specialised Machinery and Equipment Manufacturing
2826,"Manufacture of machinery for textile, apparel and leather production",2449p,Other Domestic Appliance Manufacturing
2826,"Manufacture of machinery for textile, apparel and leather production",2469p,Other Specialised Machinery and Equipment Manufacturing
2826,"Manufacture of machinery for textile, apparel and leather production",2499p,Other Machinery and Equipment Manufacturing n.e.c.
2829,Manufacture of other special-purpose machinery,2394p,Aircraft Manufacturing and Repair Services
2829,Manufacture of other special-purpose machinery,2469p,Other Specialised Machinery and Equipment Manufacturing
2910,Manufacture of motor vehicles,2311,Motor Vehicle Manufacturing
2910,Manufacture of motor vehicles,2319p,Other Motor Vehicle Parts Manufacturing
2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2312,Motor Vehicle Body and Trailer Manufacturing
2930,Manufacture of parts and accessories for motor vehicles,1919p,Other Polymer Product Manufacturing
2930,Manufacture of parts and accessories for motor vehicles,2313p,Automotive Electrical Component Manufacturing
2930,Manufacture of parts and accessories for motor vehicles,2319p,Other Motor Vehicle Parts Manufacturing
2930,Manufacture of parts and accessories for motor vehicles,2511p,Wooden Furniture and Upholstered Seat Manufacturing
2930,Manufacture of parts and accessories for motor vehicles,2512p,Metal Furniture Manufacturing
3011,Building of ships and floating structures,1919p,Other Polymer Product Manufacturing
3011,Building of ships and floating structures,2391p,Shipbuilding and Repair Services
3011,Building of ships and floating structures,2392p,Boatbuilding and Repair Services
3011,Building of ships and floating structures,2399p,Other Transport Equipment Manufacturing n.e.c.
3011,Building of ships and floating structures,2511p,Wooden Furniture and Upholstered Seat Manufacturing
3011,Building of ships and floating structures,2512p,Metal Furniture Manufacturing
3012,Building of pleasure and sporting boats,2391p,Shipbuilding and Repair Services
3012,Building of pleasure and sporting boats,2392p,Boatbuilding and Repair Services
3012,Building of pleasure and sporting boats,2399p,Other Transport Equipment Manufacturing n.e.c.
3020,Manufacture of railway locomotives and rolling stock,2393p,Railway Rolling Stock Manufacturing and Repair Services
3020,Manufacture of railway locomotives and rolling stock,2419p,Other Professional and Scientific Equipment Manufacturing
3020,Manufacture of railway locomotives and rolling stock,2511p,Wooden Furniture and Upholstered Seat Manufacturing
3020,Manufacture of railway locomotives and rolling stock,2512p,Metal Furniture Manufacturing
3030,Manufacture of air and spacecraft and related machinery,2394p,Aircraft Manufacturing and Repair Services
3030,Manufacture of air and spacecraft and related machinery,2511p,Wooden Furniture and Upholstered Seat Manufacturing
3030,Manufacture of air and spacecraft and related machinery,2512p,Metal Furniture Manufacturing
3040,Manufacture of military fighting vehicles,2399p,Other Transport Equipment Manufacturing n.e.c.
3091,Manufacture of motorcycles,2399p,Other Transport Equipment Manufacturing n.e.c.
3092,Manufacture of bicycles and invalid carriages,1320p,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
3092,Manufacture of bicycles and invalid carriages,2399p,Other Transport Equipment Manufacturing n.e.c.
3099,Manufacture of other transport equipment n.e.c.,2291p,Spring and Wire Product Manufacturing
3099,Manufacture of other transport equipment n.e.c.,2399p,Other Transport Equipment Manufacturing n.e.c.
3100,Manufacture of furniture,1912p,Rigid and Semi-Rigid Polymer Product Manufacturing
3100,Manufacture of furniture,2399p,Other Transport Equipment Manufacturing n.e.c.
3100,Manufacture of furniture,2511p,Wooden Furniture and Upholstered Seat Manufacturing
3100,Manufacture of furniture,2512p,Metal Furniture Manufacturing
3100,Manufacture of furniture,2513p,Mattress Manufacturing
3100,Manufacture of furniture,2519p,Other Furniture Manufacturing
3211,Manufacture of jewellery and related articles,2591p,Jewellery and Silverware Manufacturing
3211,Manufacture of jewellery and related articles,7712p,Investigation and Security Services
3212,Manufacture of imitation jewellery and related articles,2591p,Jewellery and Silverware Manufacturing
3220,Manufacture of musical instruments,2599p,Other Manufacturing n.e.c.
3230,Manufacture of sports goods,1351p,Clothing Manufacturing
3230,Manufacture of sports goods,1352p,Footwear Manufacturing
3230,Manufacture of sports goods,2592p,"Toy, Sporting and Recreational Product Manufacturing"
3240,Manufacture of games and toys,1523p,Paper Stationery Manufacturing
3240,Manufacture of games and toys,2399p,Other Transport Equipment Manufacturing n.e.c.
3240,Manufacture of games and toys,2592p,"Toy, Sporting and Recreational Product Manufacturing"
3240,Manufacture of games and toys,2599p,Other Manufacturing n.e.c.
3250,Manufacture of medical and dental instruments and supplies,1524p,Sanitary Paper Product Manufacturing
3250,Manufacture of medical and dental instruments and supplies,2411p,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
3250,Manufacture of medical and dental instruments and supplies,2412p,Medical and Surgical Equipment Manufacturing
3250,Manufacture of medical and dental instruments and supplies,2499p,Other Machinery and Equipment Manufacturing n.e.c.
3290,Other manufacturing n.e.c.,1320p,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
3290,Other manufacturing n.e.c.,1351p,Clothing Manufacturing
3290,Other manufacturing n.e.c.,1499p,Other Wood Product Manufacturing n.e.c.
3290,Other manufacturing n.e.c.,1912p,Rigid and Semi-Rigid Polymer Product Manufacturing
3290,Other manufacturing n.e.c.,1913p,Polymer Foam Product Manufacturing
3290,Other manufacturing n.e.c.,1919p,Other Polymer Product Manufacturing
3290,Other manufacturing n.e.c.,2090p,Other Non-Metallic Mineral Product Manufacturing
3290,Other manufacturing n.e.c.,2299p,Other Fabricated Metal Product Manufacturing n.e.c.
3290,Other manufacturing n.e.c.,2412p,Medical and Surgical Equipment Manufacturing
3290,Other manufacturing n.e.c.,2599p,Other Manufacturing n.e.c.
3311,Repair of fabricated metal products,9429p,Other Machinery and Equipment Repair and Maintenance
3311,Repair of fabricated metal products,9499p,Other Repair and Maintenance n.e.c.
3312,Repair of machinery,2391p,Shipbuilding and Repair Services
3312,Repair of machinery,2392p,Boatbuilding and Repair Services
3312,Repair of machinery,2393p,Railway Rolling Stock Manufacturing and Repair Services
3312,Repair of machinery,2399p,Other Transport Equipment Manufacturing n.e.c.
3312,Repair of machinery,9422p,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
3312,Repair of machinery,9429p,Other Machinery and Equipment Repair and Maintenance
3312,Repair of machinery,9499p,Other Repair and Maintenance n.e.c.
3313,Repair of electronic and optical equipment,2394p,Aircraft Manufacturing and Repair Services
3313,Repair of electronic and optical equipment,9422p,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
3313,Repair of electronic and optical equipment,9499p,Other Repair and Maintenance n.e.c.
3314,Repair of electrical equipment,9422p,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
3314,Repair of electrical equipment,9429p,Other Machinery and Equipment Repair and Maintenance
3315,"Repair of transport equipment, except motor vehicles",2391p,Shipbuilding and Repair Services
3315,"Repair of transport equipment, except motor vehicles",2392p,Boatbuilding and Repair Services
3315,"Repair of transport equipment, except motor vehicles",2393p,Railway Rolling Stock Manufacturing and Repair Services
3315,"Repair of transport equipment, except motor vehicles",2394p,Aircraft Manufacturing and Repair Services
3315,"Repair of transport equipment, except motor vehicles",2399p,Other Transport Equipment Manufacturing n.e.c.
3315,"Repair of transport equipment, except motor vehicles",9429p,Other Machinery and Equipment Repair and Maintenance
3319,Repair of other equipment,9429p,Other Machinery and Equipment Repair and Maintenance
3319,Repair of other equipment,9499p,Other Repair and Maintenance n.e.c.
3320,Installation of industrial machinery and equipment,3109p,Other Heavy and Civil Engineering Construction
3320,Installation of industrial machinery and equipment,3232p,Electrical Services
3320,Installation of industrial machinery and equipment,3239p,Other Building Installation Services
3320,Installation of industrial machinery and equipment,3299p,Other Construction Services n.e.c.
3320,Installation of industrial machinery and equipment,7000p,Computer System Design and Related Services
3510,"Electric power generation, transmission and distribution",2611,Fossil Fuel Electricity Generation
3510,"Electric power generation, transmission and distribution",2612,Hydro-Electricity Generation
3510,"Electric power generation, transmission and distribution",2619p,Other Electricity Generation
3510,"Electric power generation, transmission and distribution",2620,Electricity Transmission
3510,"Electric power generation, transmission and distribution",2630,Electricity Distribution
3510,"Electric power generation, transmission and distribution",2640,On Selling Electricity and Electricity Market Operation
3520,Manufacture of gas; distribution of gaseous fuels through mains,2700,Gas Supply
3530,Steam and air conditioning supply,2811p,Water Supply 
3600,"Water collection, treatment and supply",2811p,Water Supply 
3700,Sewerage,2812,Sewerage and Drainage Services
3700,Sewerage,2919p,Other Waste Collection Services
3700,Sewerage,2921p,Waste Treatment and Disposal Services
3811,Collection of non-hazardous waste,2911p,Solid Waste Collection Services
3811,Collection of non-hazardous waste,2919p,Other Waste Collection Services
3811,Collection of non-hazardous waste,2921p,Waste Treatment and Disposal Services
3811,Collection of non-hazardous waste,2922p,Waste Remediation and Materials Recovery Services
3812,Collection of hazardous waste,2911p,Solid Waste Collection Services
3812,Collection of hazardous waste,2919p,Other Waste Collection Services
3812,Collection of hazardous waste,2921p,Waste Treatment and Disposal Services
3812,Collection of hazardous waste,2922p,Waste Remediation and Materials Recovery Services
3821,Treatment and disposal of non-hazardous waste,1831p,Fertiliser Manufacturing
3821,Treatment and disposal of non-hazardous waste,2619p,Other Electricity Generation
3821,Treatment and disposal of non-hazardous waste,2921p,Waste Treatment and Disposal Services
3821,Treatment and disposal of non-hazardous waste,2922p,Waste Remediation and Materials Recovery Services
3822,Treatment and disposal of hazardous waste,2921p,Waste Treatment and Disposal Services
3822,Treatment and disposal of hazardous waste,2922p,Waste Remediation and Materials Recovery Services
3830,Materials recovery,2391p,Shipbuilding and Repair Services
3830,Materials recovery,2922p,Waste Remediation and Materials Recovery Services
3900,Remediation activities and other waste management services,2922p,Waste Remediation and Materials Recovery Services
4100,Construction of buildings,3011,House Construction
4100,Construction of buildings,3019,Other Residential Building Construction
4100,Construction of buildings,3020,Non-Residential Building Construction
4210,Construction of roads and railways,3101p,Road and Bridge Construction
4210,Construction of roads and railways,3109p,Other Heavy and Civil Engineering Construction
4210,Construction of roads and railways,3299p,Other Construction Services n.e.c.
4220,Construction of utility projects,3109p,Other Heavy and Civil Engineering Construction
4290,Construction of other civil engineering projects,3101p,Road and Bridge Construction
4290,Construction of other civil engineering projects,3109p,Other Heavy and Civil Engineering Construction
4290,Construction of other civil engineering projects,3211p,Land Development and Subdivision
4311,Demolition,3212p,Site Preparation Services
4312,Site preparation,3212p,Site Preparation Services
4312,Site preparation,3292p,Hire of Construction Machinery with Operator
4321,Electrical installation,3232p,Electrical Services
4321,Electrical installation,3234p,Fire and Security Alarm Installation Services
4322,"Plumbing, heat and air-conditioning installation",3231,Plumbing Services
4322,"Plumbing, heat and air-conditioning installation",3233,Air Conditioning and Heating Services
4322,"Plumbing, heat and air-conditioning installation",3234p,Fire and Security Alarm Installation Services
4322,"Plumbing, heat and air-conditioning installation",3291p,Landscape Construction Services
4329,Other construction installation,3232p,Electrical Services
4329,Other construction installation,3239p,Other Building Installation Services
4329,Other construction installation,3299p,Other Construction Services n.e.c.
4329,Other construction installation,9429p,Other Machinery and Equipment Repair and Maintenance
4330,Building completion and finishing,1492p,Wooden Structural Fitting and Component Manufacturing
4330,Building completion and finishing,1913p,Polymer Foam Product Manufacturing
4330,Building completion and finishing,3239p,Other Building Installation Services
4330,Building completion and finishing,3241,Plastering and Ceiling Services
4330,Building completion and finishing,3242,Carpentry Services
4330,Building completion and finishing,3243,Tiling and Carpeting Services
4330,Building completion and finishing,3244,Painting and Decorating Services
4330,Building completion and finishing,3245,Glazing Services
4330,Building completion and finishing,3291p,Landscape Construction Services
4330,Building completion and finishing,3299p,Other Construction Services n.e.c.
4330,Building completion and finishing,7311p,Building and Other Industrial Cleaning Services
4390,Other specialized construction activities,3109p,Other Heavy and Civil Engineering Construction
4390,Other specialized construction activities,3221,Concreting Services
4390,Other specialized construction activities,3222,Bricklaying Services
4390,Other specialized construction activities,3223,Roofing Services
4390,Other specialized construction activities,3224,Structural Steel Erection Services
4390,Other specialized construction activities,3239p,Other Building Installation Services
4390,Other specialized construction activities,3291p,Landscape Construction Services
4390,Other specialized construction activities,3292p,Hire of Construction Machinery with Operator
4390,Other specialized construction activities,3299p,Other Construction Services n.e.c.
4510,Sale of motor vehicles,3501,Car Wholesaling
4510,Sale of motor vehicles,3502,Commercial Vehicle Wholesaling
4510,Sale of motor vehicles,3503p,Trailer and Other Motor Vehicle Wholesaling
4510,Sale of motor vehicles,3800p,Commission-Based Wholesaling
4510,Sale of motor vehicles,3911,Car Retailing
4510,Sale of motor vehicles,3913,Trailer and Other Motor Vehicle Retailing
4510,Sale of motor vehicles,4245p,Marine Equipment Retailing
4510,Sale of motor vehicles,4320p,Retail Commission-Based Buying and/or Selling
4520,Maintenance and repair of motor vehicles,9411p,Automotive Electrical Services
4520,Maintenance and repair of motor vehicles,9412p,"Automotive Body, Paint and Interior Repair"
4520,Maintenance and repair of motor vehicles,9419p,Other Automotive Repair and Maintenance
4520,Maintenance and repair of motor vehicles,9429p,Other Machinery and Equipment Repair and Maintenance
4530,Sale of motor vehicle parts and accessories,3504p,Motor Vehicle New Parts Wholesaling
4530,Sale of motor vehicle parts and accessories,3505p,Motor Vehicle Dismantling and Used Parts Wholesaling
4530,Sale of motor vehicle parts and accessories,3921p,Motor Vehicle Parts Retailing
4530,Sale of motor vehicle parts and accessories,3922p,Tyre Retailing
4530,Sale of motor vehicle parts and accessories,4320p,Retail Commission-Based Buying and/or Selling
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",3503p,Trailer and Other Motor Vehicle Wholesaling
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",3504p,Motor Vehicle New Parts Wholesaling
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",3505p,Motor Vehicle Dismantling and Used Parts Wholesaling
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",3912,Motor Cycle Retailing
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",3921p,Motor Vehicle Parts Retailing
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",3922p,Tyre Retailing
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",4320p,Retail Commission-Based Buying and/or Selling
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",9411p,Automotive Electrical Services
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",9412p,"Automotive Body, Paint and Interior Repair"
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",9419p,Other Automotive Repair and Maintenance
4610,Wholesale on a fee or contract basis,3800p,Commission-Based Wholesaling
4620,Wholesale of agricultural raw materials and live animals,3311,Wool Wholesaling
4620,Wholesale of agricultural raw materials and live animals,3312,Cereal Grain Wholesaling
4620,Wholesale of agricultural raw materials and live animals,3319p,Other Agricultural Product Wholesaling
4620,Wholesale of agricultural raw materials and live animals,3606p,Liquor and Tobacco Product Wholesaling
4620,Wholesale of agricultural raw materials and live animals,3739p,Other Goods Wholesaling n.e.c.
4630,"Wholesale of food, beverages and tobacco",3319p,Other Agricultural Product Wholesaling
4630,"Wholesale of food, beverages and tobacco",3601,General Line Grocery Wholesaling
4630,"Wholesale of food, beverages and tobacco",3602,"Meat, Poultry and Smallgoods Wholesaling"
4630,"Wholesale of food, beverages and tobacco",3603,Dairy Produce Wholesaling
4630,"Wholesale of food, beverages and tobacco",3604,Fish and Seafood Wholesaling
4630,"Wholesale of food, beverages and tobacco",3605,Fruit and Vegetable Wholesaling
4630,"Wholesale of food, beverages and tobacco",3606p,Liquor and Tobacco Product Wholesaling
4630,"Wholesale of food, beverages and tobacco",3609,Other Grocery Wholesaling
4630,"Wholesale of food, beverages and tobacco",3739p,Other Goods Wholesaling n.e.c.
4641,"Wholesale of textiles, clothing and footwear",3711p,Textile Product Wholesaling
4641,"Wholesale of textiles, clothing and footwear",3712,Clothing and Footwear Wholesaling
4641,"Wholesale of textiles, clothing and footwear",3739p,Other Goods Wholesaling n.e.c.
4649,Wholesale of other household goods,3492p,Computer and Computer Peripheral Wholesaling
4649,Wholesale of other household goods,3494p,Other Electrical and Electronic Goods Wholesaling
4649,Wholesale of other household goods,3499p,Other Machinery and Equipment Wholesaling n.e.c.
4649,Wholesale of other household goods,3720,Pharmaceutical and Toiletry Goods Wholesaling
4649,Wholesale of other household goods,3731p,Furniture and Floor Covering Wholesaling
4649,Wholesale of other household goods,3732p,Jewellery and Watch Wholesaling
4649,Wholesale of other household goods,3733,Kitchen and Diningware Wholesaling
4649,Wholesale of other household goods,3734,Toy and Sporting Goods Wholesaling
4649,Wholesale of other household goods,3735,Book and Magazine Wholesaling
4649,Wholesale of other household goods,3736p,Paper Product Wholesaling
4649,Wholesale of other household goods,3739p,Other Goods Wholesaling n.e.c.
4651,"Wholesale of computers, computer peripheral equipment and software",3492p,Computer and Computer Peripheral Wholesaling
4652,Wholesale of electronic and telecommunications equipment and parts,3492p,Computer and Computer Peripheral Wholesaling
4652,Wholesale of electronic and telecommunications equipment and parts,3493,Telecommunication Goods Wholesaling
4652,Wholesale of electronic and telecommunications equipment and parts,3494p,Other Electrical and Electronic Goods Wholesaling
4653,"Wholesale of agricultural machinery, equipment and supplies",3411p,Agricultural and Construction Machinery Wholesaling
4659,Wholesale of other machinery and equipment,3411p,Agricultural and Construction Machinery Wholesaling
4659,Wholesale of other machinery and equipment,3419,Other Specialised Industrial Machinery and Equipment Wholesaling
4659,Wholesale of other machinery and equipment,3491,Professional and Scientific Goods Wholesaling
4659,Wholesale of other machinery and equipment,3494p,Other Electrical and Electronic Goods Wholesaling
4659,Wholesale of other machinery and equipment,3499p,Other Machinery and Equipment Wholesaling n.e.c.
4659,Wholesale of other machinery and equipment,3731p,Furniture and Floor Covering Wholesaling
4659,Wholesale of other machinery and equipment,3739p,Other Goods Wholesaling n.e.c.
4661,"Wholesale of solid, liquid and gaseous fuels and related products",3321,Petroleum Product Wholesaling
4661,"Wholesale of solid, liquid and gaseous fuels and related products",3322p,Metal and Mineral Wholesaling
4661,"Wholesale of solid, liquid and gaseous fuels and related products",3339p,Other Hardware Goods Wholesaling
4661,"Wholesale of solid, liquid and gaseous fuels and related products",3739p,Other Goods Wholesaling n.e.c.
4662,Wholesale of metals and metal ores,3322p,Metal and Mineral Wholesaling
4662,Wholesale of metals and metal ores,3339p,Other Hardware Goods Wholesaling
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",3331p,Timber Wholesaling
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",3332,Plumbing Goods Wholesaling
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",3339p,Other Hardware Goods Wholesaling
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",3731p,Furniture and Floor Covering Wholesaling
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",3739p,Other Goods Wholesaling n.e.c.
4669,Wholesale of waste and scrap and other products n.e.c.,3322p,Metal and Mineral Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3323,Industrial and Agricultural Chemical Product Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3331p,Timber Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3339p,Other Hardware Goods Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3505p,Motor Vehicle Dismantling and Used Parts Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3711p,Textile Product Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3732p,Jewellery and Watch Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3736p,Paper Product Wholesaling
4669,Wholesale of waste and scrap and other products n.e.c.,3739p,Other Goods Wholesaling n.e.c.
4690,Non-specialized wholesale trade,3739p,Other Goods Wholesaling n.e.c.
4711,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4110,Supermarket and Grocery Stores
4711,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4279p,Other Store-Based Retailing n.e.c.
4719,Other retail sale in non-specialized stores,4260,Department Stores
4719,Other retail sale in non-specialized stores,4279p,Other Store-Based Retailing n.e.c.
4721,Retail sale of food in specialized stores,4121p,"Fresh Meat, Fish and Poultry Retailing"
4721,Retail sale of food in specialized stores,4122p,Fruit and Vegetable Retailing
4721,Retail sale of food in specialized stores,4129p,Other Specialised Food Retailing
4721,Retail sale of food in specialized stores,4279p,Other Store-Based Retailing n.e.c.
4721,Retail sale of food in specialized stores,4320p,Retail Commission-Based Buying and/or Selling
4722,Retail sale of beverages in specialized stores,4123p,Liquor Retailing
4722,Retail sale of beverages in specialized stores,4129p,Other Specialised Food Retailing
4722,Retail sale of beverages in specialized stores,4279p,Other Store-Based Retailing n.e.c.
4722,Retail sale of beverages in specialized stores,4320p,Retail Commission-Based Buying and/or Selling
4723,Retail sale of tobacco products in specialized stores,4279p,Other Store-Based Retailing n.e.c.
4723,Retail sale of tobacco products in specialized stores,4320p,Retail Commission-Based Buying and/or Selling
4730,Retail sale of automotive fuel in specialized stores,4000p,Fuel Retailing
4730,Retail sale of automotive fuel in specialized stores,4320p,Retail Commission-Based Buying and/or Selling
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4221p,"Electrical, Electronic and Gas Appliance Retailing"
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4222p,Computer and Computer Peripheral Retailing
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4242p,Entertainment Media Retailing
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4245p,Marine Equipment Retailing
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4279p,Other Store-Based Retailing n.e.c.
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4320p,Retail Commission-Based Buying and/or Selling
4742,Retail sale of audio and video equipment in specialized stores,4221p,"Electrical, Electronic and Gas Appliance Retailing"
4742,Retail sale of audio and video equipment in specialized stores,4279p,Other Store-Based Retailing n.e.c.
4742,Retail sale of audio and video equipment in specialized stores,4320p,Retail Commission-Based Buying and/or Selling
4751,Retail sale of textiles in specialized stores,4214p,Manchester and Other Textile Goods Retailing
4751,Retail sale of textiles in specialized stores,4279p,Other Store-Based Retailing n.e.c.
4751,Retail sale of textiles in specialized stores,4320p,Retail Commission-Based Buying and/or Selling
4752,"Retail sale of hardware, paints and glass in specialized stores",4212p,Floor Coverings Retailing
4752,"Retail sale of hardware, paints and glass in specialized stores",4231p,Hardware and Building Supplies Retailing
4752,"Retail sale of hardware, paints and glass in specialized stores",4232p,Garden Supplies Retailing
4752,"Retail sale of hardware, paints and glass in specialized stores",4279p,Other Store-Based Retailing n.e.c.
4752,"Retail sale of hardware, paints and glass in specialized stores",4320p,Retail Commission-Based Buying and/or Selling
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4212p,Floor Coverings Retailing
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4214p,Manchester and Other Textile Goods Retailing
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4231p,Hardware and Building Supplies Retailing
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4279p,Other Store-Based Retailing n.e.c.
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4320p,Retail Commission-Based Buying and/or Selling
4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4211,Furniture Retailing
4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4213p,Houseware Retailing
