,centroid,central_tendency
0,0.1826108892122277,mean
1,0.4643354165028347,mean
2,0.36442829231625923,mean
3,0.26914658886581616,mean
4,0.42030862845760497,mean
5,0.3853376642783862,mean
6,0.31754024213905213,mean
7,0.47495115422134665,mean
8,0.46032839252242863,mean
9,0.3931981875896781,mean
10,0.40733727225909666,mean
11,0.4787197136485462,mean
12,0.29666083549984273,mean
13,0.4699364586489471,mean
14,0.39247998425200126,mean
15,0.45335898803364544,mean
16,0.36807405422155876,mean
17,0.31439038231256417,mean
18,0.12502921985603033,mean
19,0.039243086806822786,mean
20,0.45298315269013145,mean
21,0.43039220755579694,mean
22,0.3122369624444258,mean
23,0.44168020781512907,mean
24,0.4776693929980453,mean
25,0.21500356856628358,mean
26,0.318896256670449,mean
27,0.3021261405622387,mean
28,0.3919418817511493,mean
29,0.4041122070549135,mean
30,0.4952794808867996,mean
31,0.24889173335917503,mean
32,0.3182884031786999,mean
33,0.47351919750380134,mean
34,0.4063047617924364,mean
35,0.18523268358922382,mean
36,0.44370636613412456,mean
37,0.23474410771737897,mean
38,0.2859236329761897,mean
39,0.09414263455623664,mean
40,0.3078516937536666,mean
41,0.23832971348798115,mean
42,0.3167734111817389,mean
43,0.3337309296775235,mean
44,0.14772166291338226,mean
45,0.2985944014333089,mean
46,0.43283048855525325,mean
47,0.1938388908367026,mean
48,0.12821348671921046,mean
49,0.2238041341093879,mean
50,0.2913758458117166,mean
51,0.26611076407098083,mean
52,0.3893489419532515,mean
53,0.3416894325950611,mean
54,0.3539928088618143,mean
55,0.21703392526920348,mean
56,0.21591658207955933,mean
57,0.35781882938827286,mean
58,0.41848145420898086,mean
59,0.5000078324593022,mean
