generic_sector_code,reporting_year,prtr_system,gva
50,1989,TRI,6719.87
94,1989,TRI,43532.45
2,1989,TRI,7722.6
12,1989,TRI,21358.43
58,1989,TRI,96499.79
68,1989,TRI,553816.6
62,1989,TRI,74469.63
74,1989,TRI,49058.97
41,1989,TRI,290393.52
77,1989,TRI,101457.12
66,1989,TRI,63031.84
70,1989,TRI,168834.8
56,1989,TRI,133321.43
81,1989,TRI,37303.14
43,1989,TRI,0.0
53,1989,TRI,73223.04
73,1989,TRI,38439.79
60,1989,TRI,34696.27
29,1990,TRI,104326.11
33,1990,TRI,11582.24
20,1990,TRI,109710.23
25,1990,TRI,108296.54
22,1990,TRI,57315.18
13,1990,TRI,27358.76
38,1990,TRI,16796.56
19,1990,TRI,40551.44
46,1990,TRI,385714.29
6,1990,TRI,51087.24
10,1990,TRI,89077.96
21,1990,TRI,63136.52
11,1990,TRI,12571.82
26,1990,TRI,196832.27
52,1990,TRI,47391.61
24,1990,TRI,58116.07
37,1990,TRI,497.73
5,1990,TRI,12301.54
7,1990,TRI,4094.87
16,1990,TRI,26708.72
35,1990,TRI,150739.44
23,1990,TRI,46539.4
15,1990,TRI,7470.38
8,1990,TRI,8567.8
9,1990,TRI,13455.91
49,1990,TRI,119904.14
27,1990,TRI,46800.23
82,1990,TRI,64224.8
17,1990,TRI,55277.75
1,1990,TRI,104207.97
45,1990,TRI,182933.58
85,1990,TRI,441337.62
96,1990,TRI,73550.45
32,1990,TRI,48959.72
30,1990,TRI,62490.59
28,1990,TRI,102457.55
31,1990,TRI,27895.53
72,1990,TRI,60149.58
86,1990,TRI,414566.78
84,1990,TRI,750295.37
61,1990,TRI,170384.58
36,1990,TRI,3262.09
42,1990,TRI,48527.17
71,1990,TRI,73254.23
51,1990,TRI,48015.89
39,1990,TRI,4558.31
69,1990,TRI,147962.48
18,1990,TRI,37380.65
93,1990,TRI,35741.17
63,1990,TRI,29892.48
95,1990,TRI,23597.01
14,1990,TRI,17672.31
59,1990,TRI,39241.8
47,1990,TRI,379736.71
50,1990,TRI,6719.87
94,1990,TRI,43532.45
2,1990,TRI,7722.6
12,1990,TRI,21358.43
58,1990,TRI,96499.79
68,1990,TRI,553816.6
62,1990,TRI,74469.63
74,1990,TRI,49058.97
41,1990,TRI,290393.52
77,1990,TRI,101457.12
66,1990,TRI,63031.84
70,1990,TRI,168834.8
56,1990,TRI,133321.43
81,1990,TRI,37303.14
43,1990,TRI,0.0
53,1990,TRI,73223.04
73,1990,TRI,38439.79
60,1990,TRI,34696.27
29,1991,TRI,104326.11
33,1991,TRI,11582.24
20,1991,TRI,109710.23
25,1991,TRI,108296.54
22,1991,TRI,57315.18
13,1991,TRI,27358.76
38,1991,TRI,16796.56
19,1991,TRI,40551.44
46,1991,TRI,385714.29
6,1991,TRI,51087.24
10,1991,TRI,89077.96
21,1991,TRI,63136.52
11,1991,TRI,12571.82
26,1991,TRI,196832.27
52,1991,TRI,47391.61
24,1991,TRI,58116.07
37,1991,TRI,497.73
5,1991,TRI,12301.54
7,1991,TRI,4094.87
16,1991,TRI,26708.72
35,1991,TRI,150739.44
23,1991,TRI,46539.4
15,1991,TRI,7470.38
8,1991,TRI,8567.8
9,1991,TRI,13455.91
49,1991,TRI,119904.14
27,1991,TRI,46800.23
82,1991,TRI,64224.8
17,1991,TRI,55277.75
1,1991,TRI,104207.97
45,1991,TRI,182933.58
85,1991,TRI,441337.62
96,1991,TRI,73550.45
32,1991,TRI,48959.72
30,1991,TRI,62490.59
28,1991,TRI,102457.55
31,1991,TRI,27895.53
72,1991,TRI,60149.58
86,1991,TRI,414566.78
84,1991,TRI,750295.37
61,1991,TRI,170384.58
36,1991,TRI,3262.09
42,1991,TRI,48527.17
71,1991,TRI,73254.23
51,1991,TRI,48015.89
39,1991,TRI,4558.31
69,1991,TRI,147962.48
18,1991,TRI,37380.65
93,1991,TRI,35741.17
63,1991,TRI,29892.48
95,1991,TRI,23597.01
14,1991,TRI,17672.31
59,1991,TRI,39241.8
47,1991,TRI,379736.71
50,1991,TRI,6719.87
94,1991,TRI,43532.45
2,1991,TRI,7722.6
12,1991,TRI,21358.43
58,1991,TRI,96499.79
68,1991,TRI,553816.6
62,1991,TRI,74469.63
74,1991,TRI,49058.97
41,1991,TRI,290393.52
77,1991,TRI,101457.12
66,1991,TRI,63031.84
70,1991,TRI,168834.8
56,1991,TRI,133321.43
81,1991,TRI,37303.14
43,1991,TRI,0.0
53,1991,TRI,73223.04
73,1991,TRI,38439.79
60,1991,TRI,34696.27
29,1992,TRI,104326.11
33,1992,TRI,11582.24
20,1992,TRI,109710.23
25,1992,TRI,108296.54
22,1992,TRI,57315.18
13,1992,TRI,27358.76
38,1992,TRI,16796.56
19,1992,TRI,40551.44
46,1992,TRI,385714.29
6,1992,TRI,51087.24
10,1992,TRI,89077.96
21,1992,TRI,63136.52
11,1992,TRI,12571.82
26,1992,TRI,196832.27
52,1992,TRI,47391.61
24,1992,TRI,58116.07
37,1992,TRI,497.73
5,1992,TRI,12301.54
7,1992,TRI,4094.87
16,1992,TRI,26708.72
35,1992,TRI,150739.44
23,1992,TRI,46539.4
15,1992,TRI,7470.38
8,1992,TRI,8567.8
9,1992,TRI,13455.91
49,1992,TRI,119904.14
27,1992,TRI,46800.23
82,1992,TRI,64224.8
17,1992,TRI,55277.75
1,1992,TRI,104207.97
45,1992,TRI,182933.58
85,1992,TRI,441337.62
96,1992,TRI,73550.45
32,1992,TRI,48959.72
30,1992,TRI,62490.59
28,1992,TRI,102457.55
31,1992,TRI,27895.53
72,1992,TRI,60149.58
86,1992,TRI,414566.78
84,1992,TRI,750295.37
61,1992,TRI,170384.58
36,1992,TRI,3262.09
42,1992,TRI,48527.17
71,1992,TRI,73254.23
51,1992,TRI,48015.89
39,1992,TRI,4558.31
69,1992,TRI,147962.48
18,1992,TRI,37380.65
93,1992,TRI,35741.17
63,1992,TRI,29892.48
95,1992,TRI,23597.01
14,1992,TRI,17672.31
59,1992,TRI,39241.8
47,1992,TRI,379736.71
50,1992,TRI,6719.87
94,1992,TRI,43532.45
2,1992,TRI,7722.6
12,1992,TRI,21358.43
58,1992,TRI,96499.79
68,1992,TRI,553816.6
62,1992,TRI,74469.63
74,1992,TRI,49058.97
41,1992,TRI,290393.52
77,1992,TRI,101457.12
66,1992,TRI,63031.84
70,1992,TRI,168834.8
56,1992,TRI,133321.43
81,1992,TRI,37303.14
43,1992,TRI,0.0
53,1992,TRI,73223.04
73,1992,TRI,38439.79
60,1992,TRI,34696.27
29,1993,TRI,104326.11
33,1993,TRI,11582.24
20,1993,TRI,109710.23
25,1993,TRI,108296.54
22,1993,TRI,57315.18
13,1993,TRI,27358.76
38,1993,TRI,16796.56
19,1993,TRI,40551.44
46,1993,TRI,385714.29
6,1993,TRI,51087.24
10,1993,TRI,89077.96
21,1993,TRI,63136.52
11,1993,TRI,12571.82
26,1993,TRI,196832.27
52,1993,TRI,47391.61
24,1993,TRI,58116.07
37,1993,TRI,497.73
5,1993,TRI,12301.54
7,1993,TRI,4094.87
16,1993,TRI,26708.72
35,1993,TRI,150739.44
23,1993,TRI,46539.4
15,1993,TRI,7470.38
8,1993,TRI,8567.8
9,1993,TRI,13455.91
49,1993,TRI,119904.14
27,1993,TRI,46800.23
82,1993,TRI,64224.8
17,1993,TRI,55277.75
1,1993,TRI,104207.97
45,1993,TRI,182933.58
85,1993,TRI,441337.62
96,1993,TRI,73550.45
32,1993,TRI,48959.72
30,1993,TRI,62490.59
28,1993,TRI,102457.55
31,1993,TRI,27895.53
72,1993,TRI,60149.58
86,1993,TRI,414566.78
84,1993,TRI,750295.37
61,1993,TRI,170384.58
36,1993,TRI,3262.09
42,1993,TRI,48527.17
71,1993,TRI,73254.23
51,1993,TRI,48015.89
39,1993,TRI,4558.31
69,1993,TRI,147962.48
18,1993,TRI,37380.65
93,1993,TRI,35741.17
63,1993,TRI,29892.48
95,1993,TRI,23597.01
14,1993,TRI,17672.31
59,1993,TRI,39241.8
47,1993,TRI,379736.71
50,1993,TRI,6719.87
94,1993,TRI,43532.45
2,1993,TRI,7722.6
12,1993,TRI,21358.43
58,1993,TRI,96499.79
68,1993,TRI,553816.6
62,1993,TRI,74469.63
74,1993,TRI,49058.97
41,1993,TRI,290393.52
77,1993,TRI,101457.12
66,1993,TRI,63031.84
70,1993,TRI,168834.8
56,1993,TRI,133321.43
81,1993,TRI,37303.14
43,1993,TRI,0.0
53,1993,TRI,73223.04
73,1993,TRI,38439.79
60,1993,TRI,34696.27
29,1994,TRI,104326.11
33,1994,TRI,11582.24
20,1994,TRI,109710.23
25,1994,TRI,108296.54
22,1994,TRI,57315.18
13,1994,TRI,27358.76
38,1994,TRI,16796.56
19,1994,TRI,40551.44
46,1994,TRI,385714.29
6,1994,TRI,51087.24
10,1994,TRI,89077.96
21,1994,TRI,63136.52
11,1994,TRI,12571.82
26,1994,TRI,196832.27
52,1994,TRI,47391.61
24,1994,TRI,58116.07
37,1994,TRI,497.73
5,1994,TRI,12301.54
7,1994,TRI,4094.87
16,1994,TRI,26708.72
35,1994,TRI,150739.44
23,1994,TRI,46539.4
15,1994,TRI,7470.38
8,1994,TRI,8567.8
9,1994,TRI,13455.91
49,1994,TRI,119904.14
27,1994,TRI,46800.23
82,1994,TRI,64224.8
17,1994,TRI,55277.75
1,1994,TRI,104207.97
45,1994,TRI,182933.58
85,1994,TRI,441337.62
96,1994,TRI,73550.45
32,1994,TRI,48959.72
30,1994,TRI,62490.59
28,1994,TRI,102457.55
31,1994,TRI,27895.53
72,1994,TRI,60149.58
86,1994,TRI,414566.78
84,1994,TRI,750295.37
61,1994,TRI,170384.58
36,1994,TRI,3262.09
42,1994,TRI,48527.17
71,1994,TRI,73254.23
51,1994,TRI,48015.89
39,1994,TRI,4558.31
69,1994,TRI,147962.48
18,1994,TRI,37380.65
93,1994,TRI,35741.17
63,1994,TRI,29892.48
95,1994,TRI,23597.01
14,1994,TRI,17672.31
