Flow rate interval [kg],Value
"[0, 2)",Interval 1
"[2, 10)",Interval 2
"[10, 71)",Interval 3
"[71, 150)",Interval 4
"[150, 486)",Interval 5
"[486, 1542)",Interval 6
"[1542, 4944)",Interval 7
"[4944, 18141)",Interval 8
"[18141, 896541002)",Interval 9
