generic_sector_code,sector
20,3.422702787212787
28,4.668004301896398
35,4.871332661113547
29,4.113895082938388
7,4.61937135678392
25,4.393613198237886
24,4.746450177536909
84,4.682730451866404
27,4.322044696505212
37,4.8610196
46,4.179475932062966
19,4.058103393565447
16,3.981530769230769
38,4.397636213772933
26,3.9775177337398375
22,3.8094018191841235
23,4.28288044058745
10,2.6295018262313223
17,3.7420808705612827
31,3.9915097999999998
30,4.451536259716507
32,4.229286253934942
45,3.5328217391304344
13,3.1729417840375587
52,4.288877586206897
6,5.896913477088948
21,2.7402622188905545
61,3.3899777777777778
15,2.85829793814433
18,3.6028953271028037
11,2.286248684210526
12,3.464425714285714
49,4.6938724999999994
58,4.319072727272727
14,2.17218125
51,4.4846812499999995
5,3.865196052631579
72,3.9836241758241755
33,4.237014035087719
1,4.312908333333334
36,3.3616555555555556
42,4.5918
85,4.44175294117647
68,2.962292307692308
9,4.893090476190475
8,4.684766153846153
69,4.912341176470588
43,4.584966666666666
82,4.864527272727273
86,3.813725
96,3.2506999999999997
2,3.688725
70,4.688725
47,4.607842857142857
71,4.5594
50,4.4182999999999995
39,4.864527272727273
81,4.929971428571428
62,3.358542857142857
93,3.751633333333333
94,4.938725
