national_facility_and_generic_sector_id,generic_sector_code,sector
12624,30,4.417699950228338
57984,30,4.417699950228338
40739,30,4.417699950228338
42310,28,4.687371624275464
8053,32,4.1764416285691395
7794,32,4.1764416285691395
7870,32,4.1764416285691395
10540,32,4.1764416285691395
14500,32,4.1764416285691395
33189,32,4.1764416285691395
42043,32,4.1764416285691395
61866,32,4.1764416285691395
6487,32,4.1764416285691395
42243,32,4.1764416285691395
59094,32,4.1764416285691395
59316,32,4.1764416285691395
11931,32,4.1764416285691395
13528,25,4.384000622327908
53299,32,4.1764416285691395
58625,32,4.1764416285691395
61761,46,4.191771452873996
40737,17,3.747436557932603
38017,28,4.687371624275464
54956,26,4.029764486677171
59459,26,4.029764486677171
54790,26,4.029764486677171
24475,26,4.029764486677171
44788,26,4.029764486677171
60626,26,4.029764486677171
8834,26,4.029764486677171
58420,26,4.029764486677171
30982,26,4.029764486677171
13722,26,4.029764486677171
59866,26,4.029764486677171
17883,27,4.33176213250464
31248,27,4.33176213250464
57818,27,4.33176213250464
42725,27,4.33176213250464
38208,28,4.687371624275464
23836,30,4.417699950228338
30139,30,4.417699950228338
17209,32,4.1764416285691395
59208,32,4.1764416285691395
58878,32,4.1764416285691395
25239,32,4.1764416285691395
38070,25,4.384000622327908
40738,20,3.443381881561369
16952,26,4.029764486677171
54191,26,4.029764486677171
11223,26,4.029764486677171
7462,32,4.1764416285691395
59197,32,4.1764416285691395
24879,23,4.279539758446484
11861,24,4.720494698936228
60025,28,4.687371624275464
41562,26,4.029764486677171
53304,32,4.1764416285691395
38451,32,4.1764416285691395
52896,51,4.637233183718707
30121,84,4.666321565126627
19176,22,3.844832709692199
55900,32,4.1764416285691395
56072,28,4.687371624275464
44954,19,4.091500417451056
8928,20,3.443381881561369
7623,23,4.279539758446484
7622,13,3.180931282974887
27708,23,4.279539758446484
27709,30,4.417699950228338
26516,20,3.443381881561369
15747,23,4.279539758446484
17659,24,4.720494698936228
17198,24,4.720494698936228
