generic_sector_code,sector
20,3.4104552840683353
28,4.651631051407906
35,4.818108847184987
29,4.097217273795535
7,4.631256701030928
25,4.412830392674767
24,4.74438416465789
84,4.755902419354839
27,4.312207411982706
37,4.884769056603774
46,4.206874504950496
19,4.043562751384436
16,3.9055925705794947
38,4.344909081253319
26,4.01648182294395
22,3.8298911209766926
23,4.21647393939394
10,2.6531432578209277
17,3.7634258594917793
31,4.013218404907975
30,4.393188300835655
32,4.238655327868853
45,3.4185519999999996
13,3.05161065830721
52,4.0653547169811315
6,5.972633246753246
21,2.759676347305389
61,4.066257142857142
15,2.7239607476635515
18,3.5629174603174603
11,2.3436857142857144
12,3.6437842105263156
49,4.488343478260869
58,3.9404222222222223
14,2.5731900000000003
51,4.02319
5,3.6597923076923076
72,3.9110549019607843
33,4.1174684210526316
1,4.564253333333332
36,3.03865
42,4.54638
85,3.54638
68,3.03865
9,4.566536363636363
8,4.650418181818182
69,4.455316666666667
43,4.5773
82,4.940422222222222
86,4.209114285714286
96,3.307975
2,3.637685714285714
70,4.5773
47,4.182975
71,4.209114285714286
50,4.410633333333333
39,4.0773
81,4.5773
