Flow rate interval [kg],Value
"[0, 89654100)",Interval 1
"[89654100, 179308200)",Interval 2
"[179308200, 268962300)",Interval 3
"[268962300, 358616400)",Interval 4
"[358616400, 448270501)",Interval 5
"[448270501, 537924601)",Interval 6
"[537924601, 627578701)",Interval 7
"[627578701, 717232801)",Interval 8
"[717232801, 806886901)",Interval 9
"[806886901, 896541002)",Interval 10
