Flow rate interval [kg],Value
"[0, 1422780)",1
"[1422780, 2845560)",2
"[2845560, 4268340)",3
"[4268340, 5691120)",4
"[5691120, 7113901)",5
"[7113901, 8536681)",6
"[8536681, 9959461)",7
"[9959461, 11382241)",8
"[11382241, 12805021)",9
"[12805021, 14227802)",10
