0,transfer_amount_kg
1,generic_sector_code
2,AUTOCORR2D_100
3,AUTOCORR2D_107
4,AUTOCORR2D_139
5,BCUT2D_CHGHI
6,MaxAbsPartialCharge
7,MinEStateIndex
